statement,label,relation,subject,target,true_target
Teres Ridge belongs to the continent of Antarctica.,1,{} belongs to the continent of,Teres Ridge,Antarctica,Antarctica
Teres Ridge belongs to the continent of Africa.,0,{} belongs to the continent of,Teres Ridge,Africa,Antarctica
Carl Kasell is employed by NPR.,1,{} is employed by,Carl Kasell,NPR,NPR
Carl Kasell is employed by IBM.,0,{} is employed by,Carl Kasell,IBM,NPR
Tankred Dorst found employment in Munich.,1,{} found employment in,Tankred Dorst,Munich,Munich
Tankred Dorst found employment in London.,0,{} found employment in,Tankred Dorst,London,Munich
Princeton University Press's headquarters are in Princeton.,1,{}'s headquarters are in,Princeton University Press,Princeton,Princeton
Princeton University Press's headquarters are in Beirut.,0,{}'s headquarters are in,Princeton University Press,Beirut,Princeton
The mother tongue of Ilya Ehrenburg is Russian.,1,The mother tongue of {} is,Ilya Ehrenburg,Russian,Russian
The mother tongue of Ilya Ehrenburg is Dutch.,0,The mother tongue of {} is,Ilya Ehrenburg,Dutch,Russian
Haseeb Ahsan is a citizen of Pakistan.,1,{} is a citizen of,Haseeb Ahsan,Pakistan,Pakistan
Haseeb Ahsan is a citizen of Niger.,0,{} is a citizen of,Haseeb Ahsan,Niger,Pakistan
M. S. Viswanathan's occupation is composer.,1,{}'s occupation is,M. S. Viswanathan,composer,composer
M. S. Viswanathan's occupation is actor.,0,{}'s occupation is,M. S. Viswanathan,actor,composer
Sedat Alp died at Ankara.,1,{} died at,Sedat Alp,Ankara,Ankara
Sedat Alp died at Rome.,0,{} died at,Sedat Alp,Rome,Ankara
Risemedet Mountain is in Antarctica.,1,{} is in,Risemedet Mountain,Antarctica,Antarctica
Risemedet Mountain is in Americas.,0,{} is in,Risemedet Mountain,Americas,Antarctica
Mount Markham is located in the continent Antarctica.,1,{} is located in the continent,Mount Markham,Antarctica,Antarctica
Mount Markham is located in the continent Europe.,0,{} is located in the continent,Mount Markham,Europe,Antarctica
Ritt Bjerregaard has a citizenship from Denmark.,1,{} has a citizenship from,Ritt Bjerregaard,Denmark,Denmark
Ritt Bjerregaard has a citizenship from Italy.,0,{} has a citizenship from,Ritt Bjerregaard,Italy,Denmark
Duygu Asena speaks the language Turkish.,1,{} speaks the language,Duygu Asena,Turkish,Turkish
Duygu Asena speaks the language English.,0,{} speaks the language,Duygu Asena,English,Turkish
Microsoft Visual Studio was a product of Microsoft.,1,{} was a product of,Microsoft Visual Studio,Microsoft,Microsoft
Microsoft Visual Studio was a product of Airbus.,0,{} was a product of,Microsoft Visual Studio,Airbus,Microsoft
Tizen was developed by Samsung.,1,{} was developed by,Tizen,Samsung,Samsung
Tizen was developed by Google.,0,{} was developed by,Tizen,Google,Samsung
The profession of Noon Meem Rashid is poet.,1,The profession of {} is,Noon Meem Rashid,poet,poet
The profession of Noon Meem Rashid is politician.,0,The profession of {} is,Noon Meem Rashid,politician,poet
Daily Planet originated in Canada.,1,{} originated in,Daily Planet,Canada,Canada
Daily Planet originated in Japan.,0,{} originated in,Daily Planet,Japan,Canada
The language of Il ballo delle ingrate was Italian.,1,The language of {} was,Il ballo delle ingrate,Italian,Italian
The language of Il ballo delle ingrate was French.,0,The language of {} was,Il ballo delle ingrate,French,Italian
The official language of Italy is Italian.,1,The official language of {} is,Italy,Italian,Italian
The official language of Italy is Korean.,0,The official language of {} is,Italy,Korean,Italian
Anthony Asquith expired at London.,1,{} expired at,Anthony Asquith,London,London
Anthony Asquith expired at Vienna.,0,{} expired at,Anthony Asquith,Vienna,London
The original language of Likkutei Sichos is Hebrew.,1,The original language of {} is,Likkutei Sichos,Hebrew,Hebrew
The original language of Likkutei Sichos is Tamil.,0,The original language of {} is,Likkutei Sichos,Tamil,Hebrew
The official religion of As-Saffah is Islam.,1,The official religion of {} is,As-Saffah,Islam,Islam
The official religion of As-Saffah is Judaism.,0,The official religion of {} is,As-Saffah,Judaism,Islam
Dominique Perben spoke the language French.,1,{} spoke the language,Dominique Perben,French,French
Dominique Perben spoke the language Chinese.,0,{} spoke the language,Dominique Perben,Chinese,French
Kalahari Desert is located in Africa.,1,{} is located in,Kalahari Desert,Africa,Africa
Kalahari Desert is located in Antarctica.,0,{} is located in,Kalahari Desert,Antarctica,Africa
Nizampatnam is located in the country of India.,1,{} is located in the country of,Nizampatnam,India,India
Nizampatnam is located in the country of Ghana.,0,{} is located in the country of,Nizampatnam,Ghana,India
Arthur is located in Illinois.,1,{} is located in,Arthur,Illinois,Illinois
Arthur is located in California.,0,{} is located in,Arthur,California,Illinois
VP9 is created by Google.,1,{} is created by,VP9,Google,Google
VP9 is created by Microsoft.,0,{} is created by,VP9,Microsoft,Google
Didier Haudepin speaks the language French.,1,{} speaks the language,Didier Haudepin,French,French
Didier Haudepin speaks the language Hebrew.,0,{} speaks the language,Didier Haudepin,Hebrew,French
Housos originated in Australia.,1,{} originated in,Housos,Australia,Australia
Housos originated in Spain.,0,{} originated in,Housos,Spain,Australia
Michel Chasles's domain of work is geometry.,1,{}'s domain of work is,Michel Chasles,geometry,geometry
Michel Chasles's domain of work is physics.,0,{}'s domain of work is,Michel Chasles,physics,geometry
Martina Voss-Tecklenburg plays as midfielder.,1,{} plays as,Martina Voss-Tecklenburg,midfielder,midfielder
Martina Voss-Tecklenburg plays as quarterback.,0,{} plays as,Martina Voss-Tecklenburg,quarterback,midfielder
Nicolaus Olahus speaks Latin.,1,{} speaks,Nicolaus Olahus,Latin,Latin
Nicolaus Olahus speaks Russian.,0,{} speaks,Nicolaus Olahus,Russian,Latin
Victor Merzhanov plays the piano.,1,{} plays the,Victor Merzhanov,piano,piano
Victor Merzhanov plays the guitar.,0,{} plays the,Victor Merzhanov,guitar,piano
Julien Courbet is a native speaker of French.,1,{} is a native speaker of,Julien Courbet,French,French
Julien Courbet is a native speaker of Russian.,0,{} is a native speaker of,Julien Courbet,Russian,French
Maurice de Vlaminck was native to Paris.,1,{} was native to,Maurice de Vlaminck,Paris,Paris
Maurice de Vlaminck was native to Ottawa.,0,{} was native to,Maurice de Vlaminck,Ottawa,Paris
Business Development Bank of Canada originated in Montreal.,1,{} originated in,Business Development Bank of Canada,Montreal,Montreal
Business Development Bank of Canada originated in Oxford.,0,{} originated in,Business Development Bank of Canada,Oxford,Montreal
Fiat 124 is a product of Fiat.,1,{} is a product of,Fiat 124,Fiat,Fiat
Fiat 124 is a product of BMW.,0,{} is a product of,Fiat 124,BMW,Fiat
Uttaradit is in Thailand.,1,{} is in,Uttaradit,Thailand,Thailand
Uttaradit is in Gujarat.,0,{} is in,Uttaradit,Gujarat,Thailand
Hank Aaron professionally plays the sport baseball.,1,{} professionally plays the sport,Hank Aaron,baseball,baseball
Hank Aaron professionally plays the sport basketball.,0,{} professionally plays the sport,Hank Aaron,basketball,baseball
Onufri works in the field of icon.,1,{} works in the field of,Onufri,icon,icon
Onufri works in the field of astronomy.,0,{} works in the field of,Onufri,astronomy,icon
Toyota RAV4 is created by Toyota.,1,{} is created by,Toyota RAV4,Toyota,Toyota
Toyota RAV4 is created by Volvo.,0,{} is created by,Toyota RAV4,Volvo,Toyota
Shenyang is a twin city of Chicago.,1,{} is a twin city of,Shenyang,Chicago,Chicago
Shenyang is a twin city of Boston.,0,{} is a twin city of,Shenyang,Boston,Chicago
Moscow is a twin city of Amsterdam.,1,{} is a twin city of,Moscow,Amsterdam,Amsterdam
Moscow is a twin city of Miami.,0,{} is a twin city of,Moscow,Miami,Amsterdam
Xerox started in Rochester.,1,{} started in,Xerox,Rochester,Rochester
Xerox started in Miami.,0,{} started in,Xerox,Miami,Rochester
Cheikh Anta Diop holds a citizenship from Senegal.,1,{} holds a citizenship from,Cheikh Anta Diop,Senegal,Senegal
Cheikh Anta Diop holds a citizenship from Canada.,0,{} holds a citizenship from,Cheikh Anta Diop,Canada,Senegal
Cyril Smith took up work in London.,1,{} took up work in,Cyril Smith,London,London
Cyril Smith took up work in Birmingham.,0,{} took up work in,Cyril Smith,Birmingham,London
Renault Vel Satis is created by Renault.,1,{} is created by,Renault Vel Satis,Renault,Renault
Renault Vel Satis is created by Chevrolet.,0,{} is created by,Renault Vel Satis,Chevrolet,Renault
Sebastiano Conca passed away in Naples.,1,{} passed away in,Sebastiano Conca,Naples,Naples
Sebastiano Conca passed away in Georgetown.,0,{} passed away in,Sebastiano Conca,Georgetown,Naples
The mother tongue of Alain Robbe-Grillet is French.,1,The mother tongue of {} is,Alain Robbe-Grillet,French,French
The mother tongue of Alain Robbe-Grillet is Dutch.,0,The mother tongue of {} is,Alain Robbe-Grillet,Dutch,French
Rio Natsuki is originally from Tokyo.,1,{} is originally from,Rio Natsuki,Tokyo,Tokyo
Rio Natsuki is originally from Dresden.,0,{} is originally from,Rio Natsuki,Dresden,Tokyo
Nigel de Jong plays in the position of midfielder.,1,{} plays in the position of,Nigel de Jong,midfielder,midfielder
Nigel de Jong plays in the position of pitcher.,0,{} plays in the position of,Nigel de Jong,pitcher,midfielder
British Tanker Company's headquarters are in London.,1,{}'s headquarters are in,British Tanker Company,London,London
British Tanker Company's headquarters are in Istanbul.,0,{}'s headquarters are in,British Tanker Company,Istanbul,London
The headquarter of Heart Attack Grill is in Chandler.,1,The headquarter of {} is in,Heart Attack Grill,Chandler,Chandler
The headquarter of Heart Attack Grill is in Shanghai.,0,The headquarter of {} is in,Heart Attack Grill,Shanghai,Chandler
Aerosvit Airlines formed in Kiev.,1,{} formed in,Aerosvit Airlines,Kiev,Kiev
Aerosvit Airlines formed in Paris.,0,{} formed in,Aerosvit Airlines,Paris,Kiev
Matusevich Glacier is located in the continent Antarctica.,1,{} is located in the continent,Matusevich Glacier,Antarctica,Antarctica
Matusevich Glacier is located in the continent Europe.,0,{} is located in the continent,Matusevich Glacier,Europe,Antarctica
Ankara is a twin city of Seoul.,1,{} is a twin city of,Ankara,Seoul,Seoul
Ankara is a twin city of Venice.,0,{} is a twin city of,Ankara,Venice,Seoul
Al Madinah Region's capital is Medina.,1,{}'s capital is,Al Madinah Region,Medina,Medina
Al Madinah Region's capital is London.,0,{}'s capital is,Al Madinah Region,London,Medina
Georges Marchais speaks French.,1,{} speaks,Georges Marchais,French,French
Georges Marchais speaks English.,0,{} speaks,Georges Marchais,English,French
Wesley Hospital is located in Queensland.,1,{} is located in,Wesley Hospital,Queensland,Queensland
Wesley Hospital is located in Athens.,0,{} is located in,Wesley Hospital,Athens,Queensland
George Auriol used to work in Paris.,1,{} used to work in,George Auriol,Paris,Paris
George Auriol used to work in London.,0,{} used to work in,George Auriol,London,Paris
Massenet Festival can be found in France.,1,{} can be found in,Massenet Festival,France,France
Massenet Festival can be found in Albania.,0,{} can be found in,Massenet Festival,Albania,France
Jan Peerce performs opera.,1,{} performs,Jan Peerce,opera,opera
Jan Peerce performs jazz.,0,{} performs,Jan Peerce,jazz,opera
The original language of Brava Gente is Portuguese.,1,The original language of {} is,Brava Gente,Portuguese,Portuguese
The original language of Brava Gente is Tamil.,0,The original language of {} is,Brava Gente,Tamil,Portuguese
Jean-Luc Ponty plays jazz.,1,{} plays,Jean-Luc Ponty,jazz,jazz
Jean-Luc Ponty plays thriller.,0,{} plays,Jean-Luc Ponty,thriller,jazz
Lost in Space premiered on CBS.,1,{} premiered on,Lost in Space,CBS,CBS
Lost in Space premiered on HBO.,0,{} premiered on,Lost in Space,HBO,CBS
Mambo Taxi formed in London.,1,{} formed in,Mambo Taxi,London,London
Mambo Taxi formed in Naples.,0,{} formed in,Mambo Taxi,Naples,London
Jack Wong Sue is native to Perth.,1,{} is native to,Jack Wong Sue,Perth,Perth
Jack Wong Sue is native to Adelaide.,0,{} is native to,Jack Wong Sue,Adelaide,Perth
Antonio Franco holds the position of bishop.,1,{} holds the position of,Antonio Franco,bishop,bishop
Antonio Franco holds the position of cardinal.,0,{} holds the position of,Antonio Franco,cardinal,bishop
The occupation of Sepala Attygalle is diplomat.,1,The occupation of {} is,Sepala Attygalle,diplomat,diplomat
The occupation of Sepala Attygalle is architect.,0,The occupation of {} is,Sepala Attygalle,architect,diplomat
Roy Hargrove performs jazz.,1,{} performs,Roy Hargrove,jazz,jazz
Roy Hargrove performs opera.,0,{} performs,Roy Hargrove,opera,jazz
2013 Internazionali BNL d'Italia is within Rome.,1,{} is within,2013 Internazionali BNL d'Italia,Rome,Rome
2013 Internazionali BNL d'Italia is within California.,0,{} is within,2013 Internazionali BNL d'Italia,California,Rome
The headquarter of BSC Young Boys is in Bern.,1,The headquarter of {} is in,BSC Young Boys,Bern,Bern
The headquarter of BSC Young Boys is in Toronto.,0,The headquarter of {} is in,BSC Young Boys,Toronto,Bern
The Experiment was originally aired on BBC.,1,{} was originally aired on,The Experiment,BBC,BBC
The Experiment was originally aired on Lifetime.,0,{} was originally aired on,The Experiment,Lifetime,BBC
Jari Kurri is a professional hockey.,1,{} is a professional,Jari Kurri,hockey,hockey
Jari Kurri is a professional soccer.,0,{} is a professional,Jari Kurri,soccer,hockey
Trail Inlet is a part of the continent of Antarctica.,1,{} is a part of the continent of,Trail Inlet,Antarctica,Antarctica
Trail Inlet is a part of the continent of Europe.,0,{} is a part of the continent of,Trail Inlet,Europe,Antarctica
"Arthur Wellesley, 1st Duke of Wellington worked in London.",1,{} worked in,"Arthur Wellesley, 1st Duke of Wellington",London,London
"Arthur Wellesley, 1st Duke of Wellington worked in Vienna.",0,{} worked in,"Arthur Wellesley, 1st Duke of Wellington",Vienna,London
"In Chardonne, an official language is French.",1,"In {}, an official language is",Chardonne,French,French
"In Chardonne, an official language is English.",0,"In {}, an official language is",Chardonne,English,French
Kasino originated in Brazil.,1,{} originated in,Kasino,Brazil,Brazil
Kasino originated in Boston.,0,{} originated in,Kasino,Boston,Brazil
The Midway State was formulated in Canada.,1,{} was formulated in,The Midway State,Canada,Canada
